group,subgroup,hook_name,start_ea,size_bytes,hook_kind,why_it_is_fun,stability_risk,priority_order,first_safe_payload,notes
Menu/UI,Inventory UI,InventoryMenu_InitializeOrUpdate,0x5AADC0,2003,Function Detour,Augment inventory rows with plugin metadata,Medium,26,Append one extra debug marker to selected row,Use menu-safe checks to avoid UI instability
Menu/UI,Container UI,ContainerMenu_Update,0x5992C0,3094,Function Detour,Dynamic sorting/filtering and stack insights,Medium,27,Log row count and selected item formID,Connect inventory/container behavior
Menu/UI,Active Effects UI,ActiveEffectsMenu_BuildPopup??,0x5B4A10,1018,Function Detour,Show hidden effect internals and source links,Low,28,Log effect list build order and IDs,Useful for magic debugging UX
Menu/UI,Sleep/Wait UI,ProcessSleepWaitMenu,0x5D7090,807,Function Detour,Control time-skip side effects and regen policies,Medium,29,Log requested wait hours and accepted duration,Good entry for time-advance mods
Menu/UI,Menu Pump,MenuPass,0x7B18C0,937,Function Detour,Global menu tick hook for lightweight UI tasks,Medium,30,Increment and display menu frame counter only,Keep payload tiny to protect frame time
Persistence,Save Entry,TESSaveLoadGame_SaveGame?,0x465130,1833,Function Detour,Persist plugin versioned state safely,High,31,Write tiny versioned header blob only,Gate all mutations behind strict version check
Persistence,Load Entry,TESSaveLoadGame_LoadGame,0x465860,4710,Function Detour,Load plugin state and migrate old versions,High,32,Validate header and log migration decision,Pair with save entry for round-trip tests
Persistence,Load Worker,SaveLoad_LoadGame_Subroutine?,0x462B20,3028,Function Detour,Fine-grained load-time validation hook,High,33,Log section IDs and byte counts as parsed,Use for corruption diagnosis
Persistence,Modified Flags,SaveLoad_SaveFormModifiedFlags??,0x460710,1191,Function Detour,Track modded-form provenance for debugging,Medium,34,Log modified formID + source subsystem,Supports delta/change auditing
Persistence,Change Records,TESSaveLoadGame_PrintChangeRecords?,0x45ADC0,1344,Function Detour,Readable diagnostics for save-change churn,Low,35,Mirror record summaries to plugin log,Human-readable save instrumentation
Persistence,ExtraData Load,ExtraDataList_LoadModified,0x426A90,5877,Function Detour,Repair/observe problematic extra-data payloads,High,36,Log extra-data type tags encountered,Target high-risk load failures
Persistence,ExtraData Save,ExtraDataList_SaveGame,0x421A00,4116,Function Detour,Add sanity checks before writing extra-data,High,37,Count and log serialized extra-data blocks,Useful with LoadModified telemetry
Persistence,ExtraData Load,ExtraDataList_Load,0x4259E0,2183,Function Detour,Targeted compatibility fixes for load path,Medium,38,Log decoded block sizes and version,Bridge between core and modified load paths
Persistence,ExtraData Save,ExtraDataList_Save,0x422F10,1224,Function Detour,Pre-save cleanup hooks,Medium,39,Log skipped/transformed extra-data entries,Mirror data before and after transforms
World/Forms,Data Bootstrap,TESDataHandler_CreateBuiltinObjects,0x44AC20,8530,Function Detour,Register custom forms/patch defaults at boot,High,40,Log built-in registration order only,Use with care; startup-critical
World/Forms,File Load,TESDataHandler_LoadFiles?,0x44F3D0,1652,Function Detour,Observe plugin load ordering and conflicts,High,41,Log plugin filename order and active flags,Key for load-order debugging
World/Forms,Record Load,TESDataHandler_LoadFormRecord,0x44DCF0,2478,Function Detour,Record-level form patching and audit,High,42,Log form type + formID on read,Add read-only audit first
World/Forms,Dynamic Form Add,TESDataHandler_AddForm,0x44D950,756,Function Detour,Track runtime-created forms,Medium,43,Log added form type + creator context,Useful with crafting/spawn systems
World/Forms,Created Object Tracking,SaveLoad_AddCreatedObj,0x459800,105,Function Detour,Ensure runtime-created objects persist correctly,Low,44,Log created object IDs entering save tracking,Tiny function; good deterministic hook
World/Travel,Worldspace Load,TESWorldSpace::Load,0x4F1E70,1011,Function Detour,Worldspace-level initialization tweaks,Medium,45,Log worldspace formID and loaded LOD state,Context for travel and streaming mods
World/Travel,LOD Load,TESWorldSpace::LoadLODObjects,0x4F28B0,316,Function Detour,LOD policy experiments and diagnostics,Low,46,Log number of LOD objects requested,Low-risk trace point
World/Travel,Cell Transition,ChangeCell?????,0x667600,1495,Function Detour,Hooks around fast-travel/door/cell transition behavior,High,47,Log from-cell to-cell IDs and transition reason,Great for travel bug repros
World/Weather,Direct Weather,ForceWeather,0x542260,136,Function Detour,Custom weather scheduler and region overrides,Low,48,Log forced weather formID and duration,Can pair with climatic systems
World/Weather,Console/Script Weather,Cmd_ForceWeather,0x500D90,110,Function Detour,Intercept scripted weather forcing,Low,49,Log caller script + weather arg,Validates scripted weather changes
Camera/Dialogue,Dialogue Camera,SetDialogueCamera,0x66C6F0,1346,Function Detour,Custom conversation framing/cinematics,Medium,50,Log speaker refID and selected camera mode,Useful for cinematic conversation mods
Progression,Skill Gain,Player_SkillLevelIncrease,0x668070,975,Function Detour,Rework leveling curves and perk triggers,Medium,51,Log skill index old/new value,Begin read-only to avoid progression corruption
Progression,Skill XP,Player_IncreaseSkillExperience?,0x668B30,247,Function Detour,Fine-grained XP multiplier hooks,Low,52,Log XP delta pre/post multiplier (no mutation),Companion hook to SkillLevelIncrease
