Research_Area,Entity,Entity_Type,Address_or_Offset,Signature_or_Key_Members,Why_It_Matters,Primary_Source
Casting Animation Pipeline,Actor_MagicCaster_PlayCastingAnimation:::PlayAnim,function,0x5F4068,"void __usercall(int@<ebx>, _DWORD *@<ebp>, int@<edi>, PlayerCharacter *@<esi>, ...)",Final execution stage that issues selected animation playback,_jsonl/functions/000000.jsonl
NPC Animation Adjacency,TESNPC,typedef,N/A,TESNPC,Core NPC type that owns actor presentation and behavior data,types/typedefs/TESNPC__467/typedef.json
NPC Animation Adjacency,TESNPCMembr,struct,N/A,"npcClass; face0; face1; facegenUndo",NPC member block with facegen-related fields affecting facial animation state,types/structs/TESNPCMembr__18374686479672001846/struct.json
NPC Animation Adjacency,TESNPC_SetFaceGenAge,function,0x527860,"void __thiscall(float *this, signed int)",NPC facegen mutation path likely tied to head/facial animation visuals,_jsonl/functions/000000.jsonl
NPC Animation Adjacency,sub_521A10,function,0x521A10,"NiNode **__thiscall(TESNPC *this)",Returns NiNode** from TESNPC and is a likely NPC skeleton/root-node access point,_jsonl/functions/000000.jsonl
Face Animation Types,BSFaceGenAnimationData,typedef,N/A,BSFaceGenAnimationData,Named type indicating dedicated face animation payloads,types/typedefs/BSFaceGenAnimationData__491/typedef.json
Face Animation Types,BSFaceGenMorphDataHead,typedef,N/A,BSFaceGenMorphDataHead,Head morph data type used by face animation/morph systems,types/typedefs/BSFaceGenMorphDataHead__237/typedef.json
Sequence Types,AnimSequenceSingle,typedef,N/A,AnimSequenceSingle,Represents single animation sequence objects,types/typedefs/AnimSequenceSingle__407/typedef.json
Sequence Types,AnimSequenceMultiple,typedef,N/A,AnimSequenceMultiple,Represents multi-branch/compound animation sequence objects,types/typedefs/AnimSequenceMultiple__408/typedef.json
Sequence Types,BSAnimGroupSequence,typedef,N/A,BSAnimGroupSequence,Action group sequence type used by process/action animation accessors,types/typedefs/BSAnimGroupSequence__414/typedef.json
